"","Species","cellID","x","y","Precipitation...seasonality..Bio15.","Temperature...annual.range..Bio07.","Potassium","Phosphorus","Nitrogen"
"96167","Eucalyptus ebbanoensis",96167,-1466010,6707215,67,29.5,NA,NA,NA
"96247","Eucalyptus ebbanoensis",96247,-666010,6707215,41,31.4,NA,NA,NA
"96249","Eucalyptus ebbanoensis",96249,-646010,6707215,41.1666666666667,31.5,NA,NA,NA
"96654","Eucalyptus ebbanoensis",96654,-966010,6697215,38,31.7,NA,NA,NA
"97042","Eucalyptus ebbanoensis",97042,-1456010,6687215,70,29.4,NA,NA,NA
"97478","Eucalyptus ebbanoensis",97478,-1466010,6677215,75,28.6,0.039023,0.012866,0.030517
"97483","Eucalyptus ebbanoensis",97483,-1416010,6677215,64,30.8,0.028358,0.014397,0.026494
"97910","Eucalyptus ebbanoensis",97910,-1516010,6667215,89,25.1,0.027452746,0.013814149,0.029128205
"97912","Eucalyptus ebbanoensis",97912,-1496010,6667215,85,26.4,0.039023,0.012866,0.030517
"97914","Eucalyptus ebbanoensis",97914,-1476010,6667215,80,27.7,0.039023,0.012866,0.030517
"97915","Eucalyptus ebbanoensis",97915,-1466010,6667215,78,28.4,0.028123599,0.01443065,0.02640558
"97916","Eucalyptus ebbanoensis",97916,-1456010,6667215,74,28.9,0.028358,0.014397,0.026494
"97917","Eucalyptus ebbanoensis",97917,-1446010,6667215,72,29.45,0.028358,0.014397,0.026494
"98348","Eucalyptus ebbanoensis",98348,-1506010,6657215,87,25.5,0.039023,0.012866,0.030517
"98351","Eucalyptus ebbanoensis",98351,-1476010,6657215,81,27.3,0.031127,0.015118,0.03276
"98352","Eucalyptus ebbanoensis",98352,-1466010,6657215,79,28,0.028346233,0.014393937,0.026467375
"98353","Eucalyptus ebbanoensis",98353,-1456010,6657215,76,28.6,0.028358,0.014397,0.026494
"98354","Eucalyptus ebbanoensis",98354,-1446010,6657215,73.5,29.1,0.028358,0.014397,0.026494
"98361","Eucalyptus ebbanoensis",98361,-1376010,6657215,59,31.2,0.030487,0.012621,0.02125
"98418","Eucalyptus ebbanoensis",98418,-806010,6657215,38,31,NA,NA,NA
"98785","Eucalyptus ebbanoensis",98785,-1506010,6647215,88,24.6,0.03864466,0.01289152,0.030707503
"98790","Eucalyptus ebbanoensis",98790,-1456010,6647215,77,28.4,0.028358,0.014397,0.026494
"98796","Eucalyptus ebbanoensis",98796,-1396010,6647215,63,30.9,0.030390058,0.012701868,0.02148878
"98797","Eucalyptus ebbanoensis",98797,-1386010,6647215,61.8333333333333,30.9166666666667,0.030487,0.012621,0.02125
"98798","Eucalyptus ebbanoensis",98798,-1376010,6647215,61,31,0.030487,0.012621,0.02125
"98841","Eucalyptus ebbanoensis",98841,-946010,6647215,33,31.4,NA,NA,NA
"99227","Eucalyptus ebbanoensis",99227,-1456010,6637215,79,28.2,0.028358,0.014397,0.026494
"99233","Eucalyptus ebbanoensis",99233,-1396010,6637215,67,30.6,0.030487,0.012621,0.02125
"99234","Eucalyptus ebbanoensis",99234,-1386010,6637215,62.5,30.925,0.030487,0.012621,0.02125
"99287","Eucalyptus ebbanoensis",99287,-856010,6637215,35,30.8,NA,NA,NA
"99300","Eucalyptus ebbanoensis",99300,-726010,6637215,38,31,NA,NA,NA
"99301","Eucalyptus ebbanoensis",99301,-716010,6637215,39,31.1,NA,NA,NA
"99662","Eucalyptus ebbanoensis",99662,-1476010,6627215,83.125,26.5625,0.031127,0.015118,0.03276
"99663","Eucalyptus ebbanoensis",99663,-1466010,6627215,83,26.5,0.031127,0.015118,0.03276
"99664","Eucalyptus ebbanoensis",99664,-1456010,6627215,82,27.2,0.031227933,0.015225821,0.03272078
"99672","Eucalyptus ebbanoensis",99672,-1376010,6627215,62,30.9,0.030487,0.012621,0.02125
"100100","Eucalyptus ebbanoensis",100100,-1466010,6617215,84,26.3,0.031247491,0.015246714,0.03271318
"100106","Eucalyptus ebbanoensis",100106,-1406010,6617215,69.8,30.38,0.0307809988,0.012166002,0.0285929704
"100107","Eucalyptus ebbanoensis",100107,-1396010,6617215,68.7142857142857,30.4142857142857,0.03079787,0.012139893,0.029014327
"100109","Eucalyptus ebbanoensis",100109,-1376010,6617215,64,30.6,0.030487,0.012621,0.02125
"100112","Eucalyptus ebbanoensis",100112,-1346010,6617215,57.4615384615385,31.1,0.030487,0.012621,0.02125
"100113","Eucalyptus ebbanoensis",100113,-1336010,6617215,56.9473684210526,31.0894736842105,0.0304811286315789,0.0126235182105263,0.0212531464210526
"100165","Eucalyptus ebbanoensis",100165,-816010,6617215,35.3333333333333,30.9,NA,NA,NA
"100181","Eucalyptus ebbanoensis",100181,-656010,6617215,36,31,NA,NA,NA
"100182","Eucalyptus ebbanoensis",100182,-646010,6617215,35,31,NA,NA,NA
"100541","Eucalyptus ebbanoensis",100541,-1426010,6607215,76.6666666666667,29.5833333333333,0.030781,0.012166,0.028593
"100544","Eucalyptus ebbanoensis",100544,-1396010,6607215,68.6,30.4,0.0306618214,0.0123504424,0.0256163872
"100545","Eucalyptus ebbanoensis",100545,-1386010,6607215,67,30.5,0.030487532,0.012620175,0.021263316
"100548","Eucalyptus ebbanoensis",100548,-1356010,6607215,61,31,0.030487,0.012621,0.02125
"100550","Eucalyptus ebbanoensis",100550,-1336010,6607215,57,31.1,0.031066027,0.012372664,0.020939702
"100551","Eucalyptus ebbanoensis",100551,-1326010,6607215,55.25,31.2,0.0245640625,0.015161255625,0.024424071875
"100582","Eucalyptus ebbanoensis",100582,-1016010,6607215,33,32,NA,NA,NA
"100583","Eucalyptus ebbanoensis",100583,-1006010,6607215,33,32,NA,NA,NA
"100599","Eucalyptus ebbanoensis",100599,-846010,6607215,33.1794871794872,30.7,NA,NA,NA
"100975","Eucalyptus ebbanoensis",100975,-1456010,6597215,84,26.8,0.028299,0.012097,0.033859
"100976","Eucalyptus ebbanoensis",100976,-1446010,6597215,82,27.7,0.028299,0.012097,0.033859
"100982","Eucalyptus ebbanoensis",100982,-1386010,6597215,67,30.24,0.02802413,0.0153184126666667,0.0321995906666667
"100983","Eucalyptus ebbanoensis",100983,-1376010,6597215,65,30.4,0.028007,0.015338,0.032222
"100987","Eucalyptus ebbanoensis",100987,-1336010,6597215,58,31.1,0.024553,0.015166,0.02443
"101019","Eucalyptus ebbanoensis",101019,-1016010,6597215,33,32,NA,NA,NA
"101021","Eucalyptus ebbanoensis",101021,-996010,6597215,32,31.7,NA,NA,NA
"101025","Eucalyptus ebbanoensis",101025,-956010,6597215,30.7142857142857,31.3714285714286,NA,NA,NA
"101030","Eucalyptus ebbanoensis",101030,-906010,6597215,30,30.8,NA,NA,NA
"101034","Eucalyptus ebbanoensis",101034,-866010,6597215,30,30.5,NA,NA,NA
"101035","Eucalyptus ebbanoensis",101035,-856010,6597215,32,30.7,NA,NA,NA
"101036","Eucalyptus ebbanoensis",101036,-846010,6597215,32.6666666666667,30.6666666666667,NA,NA,NA
"101411","Eucalyptus ebbanoensis",101411,-1466010,6587215,86,25.7,0.028299,0.012097,0.033859
"101414","Eucalyptus ebbanoensis",101414,-1436010,6587215,81,28.3,0.030781,0.012166,0.028593
"101419","Eucalyptus ebbanoensis",101419,-1386010,6587215,67,30.15,0.0280073665,0.015337581,0.03222152
"101456","Eucalyptus ebbanoensis",101456,-1016010,6587215,32,31.7,NA,NA,NA
"101458","Eucalyptus ebbanoensis",101458,-996010,6587215,31,31.6,NA,NA,NA
"101459","Eucalyptus ebbanoensis",101459,-986010,6587215,31,31.6,NA,NA,NA
"101462","Eucalyptus ebbanoensis",101462,-956010,6587215,30,31.2,NA,NA,NA
"101470","Eucalyptus ebbanoensis",101470,-876010,6587215,30,30.6,NA,NA,NA
"101471","Eucalyptus ebbanoensis",101471,-866010,6587215,30,30.5,NA,NA,NA
"101473","Eucalyptus ebbanoensis",101473,-846010,6587215,32,30.6,NA,NA,NA
"101855","Eucalyptus ebbanoensis",101855,-1396010,6577215,71,29.4375,0.028007,0.015338,0.032222
"101856","Eucalyptus ebbanoensis",101856,-1386010,6577215,68.4,29.68,0.028007,0.015338,0.032222
"101857","Eucalyptus ebbanoensis",101857,-1376010,6577215,66.2,29.9,0.028007,0.015338,0.032222
"101895","Eucalyptus ebbanoensis",101895,-996010,6577215,31,31.5,NA,NA,NA
"101896","Eucalyptus ebbanoensis",101896,-986010,6577215,31,31.52,NA,NA,NA
"101911","Eucalyptus ebbanoensis",101911,-836010,6577215,31,30.5,NA,NA,NA
"101914","Eucalyptus ebbanoensis",101914,-806010,6577215,31,30.6,NA,NA,NA
"102292","Eucalyptus ebbanoensis",102292,-1396010,6567215,70.5,29.3666666666667,0.028007,0.015338,0.032222
"102293","Eucalyptus ebbanoensis",102293,-1386010,6567215,70.6,29.34,0.028007,0.015338,0.032222
"102295","Eucalyptus ebbanoensis",102295,-1366010,6567215,66,29.9,0.032422863,0.015583546,0.03653093
"102328","Eucalyptus ebbanoensis",102328,-1036010,6567215,34,31.8,0.020942,0.015637,0.018333
"102330","Eucalyptus ebbanoensis",102330,-1016010,6567215,33,31.8,NA,NA,NA
"102784","Eucalyptus ebbanoensis",102784,-846010,6557215,28,30.1,NA,NA,NA
"102786","Eucalyptus ebbanoensis",102786,-826010,6557215,28,30.1142857142857,NA,NA,NA
"103202","Eucalyptus ebbanoensis",103202,-1036010,6547215,34,31.6,NA,NA,NA
"103203","Eucalyptus ebbanoensis",103203,-1026010,6547215,33.0666666666667,31.4733333333333,0.020942,0.015637,0.018333
"103207","Eucalyptus ebbanoensis",103207,-986010,6547215,31,31.3,NA,NA,NA
"103208","Eucalyptus ebbanoensis",103208,-976010,6547215,30.2222222222222,31.1111111111111,NA,NA,NA
"103223","Eucalyptus ebbanoensis",103223,-826010,6547215,28,30.1,NA,NA,NA
"103614","Eucalyptus ebbanoensis",103614,-1286010,6537215,57,30.15,NA,NA,NA
"103644","Eucalyptus ebbanoensis",103644,-986010,6537215,31.3333333333333,31.2055555555556,NA,NA,NA
"103645","Eucalyptus ebbanoensis",103645,-976010,6537215,30.5,31.09375,NA,NA,NA
"104477","Eucalyptus ebbanoensis",104477,-1396010,6517215,75,28.4,0.036544,0.011821,0.03087
"104984","Eucalyptus ebbanoensis",104984,-696010,6507215,29,30.075,NA,NA,NA
"107112","Eucalyptus ebbanoensis",107112,-1266010,6457215,58,28.9,0.041031,0.012704,0.028219
"107548","Eucalyptus ebbanoensis",107548,-1276010,6447215,61.4,28.68,0.041031,0.012704,0.028219
"107549","Eucalyptus ebbanoensis",107549,-1266010,6447215,61,28.6,0.041031,0.012704,0.028219
"107984","Eucalyptus ebbanoensis",107984,-1286010,6437215,64,28.8,0.041031,0.012704,0.028219
"107985","Eucalyptus ebbanoensis",107985,-1276010,6437215,61.5,28.55,0.041031,0.012704,0.028219
"107986","Eucalyptus ebbanoensis",107986,-1266010,6437215,61.8666666666667,28.5,0.041031,0.012704,0.028219
"108420","Eucalyptus ebbanoensis",108420,-1296010,6427215,69,28.5,0.032706,0.014654,0.034791
"108423","Eucalyptus ebbanoensis",108423,-1266010,6427215,63,28.5,0.041031,0.012704,0.028219
"98699","Eucalyptus dwyeri",98699,2003990,6657215,32,31.5,0.078199,0.010726,0.036901
"99135","Eucalyptus dwyeri",99135,1993990,6647215,32.6666666666667,31.7333333333333,0.078199,0.010726,0.036901
"99136","Eucalyptus dwyeri",99136,2003990,6647215,32.1538461538462,31.6846153846154,0.078199,0.010726,0.036901
"99580","Eucalyptus dwyeri",99580,2073990,6637215,38,29.8,0.022005,0.012494,0.03337
"99582","Eucalyptus dwyeri",99582,2093990,6637215,39,29.7,0.022005,0.012494,0.03337
"100445","Eucalyptus dwyeri",100445,1983990,6617215,32,31.7,NA,NA,NA
"100448","Eucalyptus dwyeri",100448,2013990,6617215,32.6666666666667,32.3666666666667,0.078199,0.010726,0.036901
"100882","Eucalyptus dwyeri",100882,1983990,6607215,31.5,31.65,NA,NA,NA
"100885","Eucalyptus dwyeri",100885,2013990,6607215,31.75,31.5625,0.0579708275,0.015045631,0.026277664
"101322","Eucalyptus dwyeri",101322,2013990,6597215,32,31.6,NA,NA,NA
"101323","Eucalyptus dwyeri",101323,2023990,6597215,32,31.4,0.057941,0.015052,0.026262
"101747","Eucalyptus dwyeri",101747,1893990,6587215,34,31.3,0.037014,0.014478,0.073886
"101759","Eucalyptus dwyeri",101759,2013990,6587215,33,32.35,0.057941,0.015052,0.026262
"102189","Eucalyptus dwyeri",102189,1943990,6577215,29,30.9,NA,NA,NA
"102190","Eucalyptus dwyeri",102190,1953990,6577215,29,30.9,0.037014,0.014478,0.073886
"102191","Eucalyptus dwyeri",102191,1963990,6577215,28.3333333333333,31.0333333333333,NA,NA,NA
"102585","Eucalyptus dwyeri",102585,1533990,6567215,22,31.1,NA,NA,NA
"102586","Eucalyptus dwyeri",102586,1543990,6567215,23,31.7,NA,NA,NA
"102626","Eucalyptus dwyeri",102626,1943990,6567215,28,30.8,NA,NA,NA
"102627","Eucalyptus dwyeri",102627,1953990,6567215,27,30.2,NA,NA,NA
"102628","Eucalyptus dwyeri",102628,1963990,6567215,25,29.1,0.056282645,0.0150065135,0.0300359535
"102629","Eucalyptus dwyeri",102629,1973990,6567215,28,30.4,0.057006795,0.015078931,0.026419982
"103053","Eucalyptus dwyeri",103053,1843990,6557215,29,31.86,0.0372928912,0.0143243728,0.07641959
"103062","Eucalyptus dwyeri",103062,1933990,6557215,30,30.7,NA,NA,NA
"103064","Eucalyptus dwyeri",103064,1953990,6557215,27,30.2,NA,NA,NA
"103065","Eucalyptus dwyeri",103065,1963990,6557215,27,30.4,NA,NA,NA
"103493","Eucalyptus dwyeri",103493,1873990,6547215,30,31.6,0.037014,0.014478,0.073886
"103498","Eucalyptus dwyeri",103498,1923990,6547215,32.3333333333333,30.8,0.037014,0.014478,0.073886
"103499","Eucalyptus dwyeri",103499,1933990,6547215,31,30.6,0.037014,0.014478,0.073886
"103500","Eucalyptus dwyeri",103500,1943990,6547215,29.5,30.55,0.037014,0.014478,0.073886
"103501","Eucalyptus dwyeri",103501,1953990,6547215,27.2222222222222,29.9444444444444,0.037014,0.014478,0.073886
"103502","Eucalyptus dwyeri",103502,1963990,6547215,26,29.34,0.037014,0.014478,0.073886
"103503","Eucalyptus dwyeri",103503,1973990,6547215,25,28.6,0.083333,0.01432,0.021968
"103930","Eucalyptus dwyeri",103930,1873990,6537215,28.5,31.55,NA,NA,NA
"103931","Eucalyptus dwyeri",103931,1883990,6537215,30,31.4,NA,NA,NA
"103934","Eucalyptus dwyeri",103934,1913990,6537215,33,30.8,NA,NA,NA
"103937","Eucalyptus dwyeri",103937,1943990,6537215,29,30.4,NA,NA,NA
"103938","Eucalyptus dwyeri",103938,1953990,6537215,28,30.2176470588235,0.037014,0.014478,0.073886
"104365","Eucalyptus dwyeri",104365,1853990,6527215,26,31.8,NA,NA,NA
"104366","Eucalyptus dwyeri",104366,1863990,6527215,27,31.5,NA,NA,NA
"104367","Eucalyptus dwyeri",104367,1873990,6527215,28,31.35,NA,NA,NA
"104368","Eucalyptus dwyeri",104368,1883990,6527215,28.6666666666667,31.2,NA,NA,NA
"104371","Eucalyptus dwyeri",104371,1913990,6527215,32,30.7,NA,NA,NA
"104372","Eucalyptus dwyeri",104372,1923990,6527215,30,30.2,NA,NA,NA
"104373","Eucalyptus dwyeri",104373,1933990,6527215,30.5,30.35,NA,NA,NA
"104377","Eucalyptus dwyeri",104377,1973990,6527215,30,30.4,0.037014,0.014478,0.073886
"104803","Eucalyptus dwyeri",104803,1863990,6517215,27,31.55,NA,NA,NA
"104804","Eucalyptus dwyeri",104804,1873990,6517215,27,31.14,NA,NA,NA
"104805","Eucalyptus dwyeri",104805,1883990,6517215,28.5,30.95,NA,NA,NA
"104808","Eucalyptus dwyeri",104808,1913990,6517215,31.25,30.6,NA,NA,NA
"104809","Eucalyptus dwyeri",104809,1923990,6517215,30.5,30.3,NA,NA,NA
"104811","Eucalyptus dwyeri",104811,1943990,6517215,30.6666666666667,30.2333333333333,0.037014,0.014478,0.073886
"104812","Eucalyptus dwyeri",104812,1953990,6517215,30.75,30.25,0.037014,0.014478,0.073886
"104813","Eucalyptus dwyeri",104813,1963990,6517215,32,30.4,0.037014,0.014478,0.073886
"104814","Eucalyptus dwyeri",104814,1973990,6517215,29.25,30.025,0.037014,0.014478,0.073886
"105240","Eucalyptus dwyeri",105240,1863990,6507215,26,31.3,NA,NA,NA
"105241","Eucalyptus dwyeri",105241,1873990,6507215,26.7142857142857,31.1142857142857,NA,NA,NA
"105243","Eucalyptus dwyeri",105243,1893990,6507215,28.5,30.6,NA,NA,NA
"105244","Eucalyptus dwyeri",105244,1903990,6507215,30.2,30.42,NA,NA,NA
"105246","Eucalyptus dwyeri",105246,1923990,6507215,29,29.9,NA,NA,NA
"105248","Eucalyptus dwyeri",105248,1943990,6507215,30.8333333333333,30.2333333333333,0.037014,0.014478,0.073886
"105252","Eucalyptus dwyeri",105252,1983990,6507215,29,30.05,0.053212735,0.011808043,0.07501098
"105254","Eucalyptus dwyeri",105254,2003990,6507215,30,30.35,0.060924,0.013805,0.040695
"105677","Eucalyptus dwyeri",105677,1863990,6497215,25,31.1,NA,NA,NA
"105678","Eucalyptus dwyeri",105678,1873990,6497215,26,31,NA,NA,NA
"105679","Eucalyptus dwyeri",105679,1883990,6497215,27,30.44,NA,NA,NA
"105680","Eucalyptus dwyeri",105680,1893990,6497215,28.5714285714286,30.4428571428571,NA,NA,NA
"105681","Eucalyptus dwyeri",105681,1903990,6497215,29.5714285714286,30.2857142857143,NA,NA,NA
"105682","Eucalyptus dwyeri",105682,1913990,6497215,29,30.01,NA,NA,NA
"105683","Eucalyptus dwyeri",105683,1923990,6497215,29,29.7,NA,NA,NA
"105688","Eucalyptus dwyeri",105688,1973990,6497215,26,29.1,NA,NA,NA
"106113","Eucalyptus dwyeri",106113,1853990,6487215,24,31.2,NA,NA,NA
"106115","Eucalyptus dwyeri",106115,1873990,6487215,25,30.3111111111111,NA,NA,NA
"106116","Eucalyptus dwyeri",106116,1883990,6487215,26.5882352941176,30.3176470588235,NA,NA,NA
"106117","Eucalyptus dwyeri",106117,1893990,6487215,27.75,30.275,NA,NA,NA
"106118","Eucalyptus dwyeri",106118,1903990,6487215,28,30.0166666666667,NA,NA,NA
"106119","Eucalyptus dwyeri",106119,1913990,6487215,28.3333333333333,29.8888888888889,NA,NA,NA
"106535","Eucalyptus dwyeri",106535,1703990,6477215,21.4,31.18,0.016521,0.014873,0.044259
"106550","Eucalyptus dwyeri",106550,1853990,6477215,24.3333333333333,31,NA,NA,NA
"106551","Eucalyptus dwyeri",106551,1863990,6477215,24.7,30.48,NA,NA,NA
"106552","Eucalyptus dwyeri",106552,1873990,6477215,24.8571428571429,30.1928571428571,NA,NA,NA
"106553","Eucalyptus dwyeri",106553,1883990,6477215,25.2,29.94,NA,NA,NA
"106554","Eucalyptus dwyeri",106554,1893990,6477215,27,30.05,0.051346,0.012452,0.040862
"106555","Eucalyptus dwyeri",106555,1903990,6477215,26.5,29.55,0.051346,0.012452,0.040862
"106562","Eucalyptus dwyeri",106562,1973990,6477215,28,29.3,0.053213,0.011808,0.075011
"106963","Eucalyptus dwyeri",106963,1613990,6467215,23,30.8,NA,0.014943,0.016439
"106972","Eucalyptus dwyeri",106972,1703990,6467215,22,31.3,0.016521,0.014873,0.044259
"106973","Eucalyptus dwyeri",106973,1713990,6467215,21,31.2,0.016521,0.014873,0.044259
"106987","Eucalyptus dwyeri",106987,1853990,6467215,24,30.4,0.051346,0.012452,0.040862
"106988","Eucalyptus dwyeri",106988,1863990,6467215,24,29.6,NA,NA,NA
"106989","Eucalyptus dwyeri",106989,1873990,6467215,24.4,29.84,NA,NA,NA
"106990","Eucalyptus dwyeri",106990,1883990,6467215,25.6666666666667,29.6666666666667,0.051346,0.012452,0.040862
"106991","Eucalyptus dwyeri",106991,1893990,6467215,26,29.3,NA,NA,NA
"106992","Eucalyptus dwyeri",106992,1903990,6467215,27.3333333333333,29.4555555555556,0.051346,0.012452,0.040862
"106995","Eucalyptus dwyeri",106995,1933990,6467215,31,29.5,0.053213,0.011808,0.075011
"106997","Eucalyptus dwyeri",106997,1953990,6467215,30,29.2,0.053213,0.011808,0.075011
"107421","Eucalyptus dwyeri",107421,1823990,6457215,23,30.9,0.020517504,0.015977226,0.021987807
"107422","Eucalyptus dwyeri",107422,1833990,6457215,23,29.7,NA,NA,NA
"107423","Eucalyptus dwyeri",107423,1843990,6457215,22,28.7,NA,NA,NA
"107424","Eucalyptus dwyeri",107424,1853990,6457215,22,28.8333333333333,NA,NA,NA
"107425","Eucalyptus dwyeri",107425,1863990,6457215,24.5,29.3357142857143,0.051346,0.012452,0.040862
"107426","Eucalyptus dwyeri",107426,1873990,6457215,24.3888888888889,29.1444444444444,0.051346,0.012452,0.040862
"107427","Eucalyptus dwyeri",107427,1883990,6457215,25.3333333333333,29.1,0.051346,0.012452,0.040862
"107428","Eucalyptus dwyeri",107428,1893990,6457215,25.75,29.125,NA,NA,NA
"107435","Eucalyptus dwyeri",107435,1963990,6457215,31,29.3,0.053213,0.011808,0.075011
"107442","Eucalyptus dwyeri",107442,2033990,6457215,27,29.8,0.07702622,0.020863192,0.07143781
"107859","Eucalyptus dwyeri",107859,1833990,6447215,20.6666666666667,28.9,NA,NA,NA
"107860","Eucalyptus dwyeri",107860,1843990,6447215,20,28,NA,NA,NA
"107861","Eucalyptus dwyeri",107861,1853990,6447215,25,28.9666666666667,NA,NA,NA
"107862","Eucalyptus dwyeri",107862,1863990,6447215,26.1428571428571,29.3857142857143,0.051346,0.012452,0.040862
"107864","Eucalyptus dwyeri",107864,1883990,6447215,24,28.6,0.051346,0.012452,0.040862
"107872","Eucalyptus dwyeri",107872,1963990,6447215,28,28.9,0.053213,0.011808,0.075011
"108299","Eucalyptus dwyeri",108299,1863990,6437215,28,29.6,0.051346,0.012452,0.040862
"108303","Eucalyptus dwyeri",108303,1903990,6437215,28,28.9,NA,NA,NA
"108313","Eucalyptus dwyeri",108313,2003990,6437215,25,28.7,0.061025,0.011849,0.04812
"108710","Eucalyptus dwyeri",108710,1603990,6427215,21,30.7,NA,NA,NA
"108735","Eucalyptus dwyeri",108735,1853990,6427215,24,28.8,0.051346,0.012452,0.040862
"108737","Eucalyptus dwyeri",108737,1873990,6427215,28,29.2,NA,NA,NA
"108738","Eucalyptus dwyeri",108738,1883990,6427215,26.625,28.875,NA,NA,NA
"108739","Eucalyptus dwyeri",108739,1893990,6427215,27,28.8,NA,NA,NA
"108743","Eucalyptus dwyeri",108743,1933990,6427215,29.5714285714286,29.1,NA,NA,NA
"108750","Eucalyptus dwyeri",108750,2003990,6427215,23,28.2857142857143,0.0612743828571429,0.0118463461428571,0.047571345
"108751","Eucalyptus dwyeri",108751,2013990,6427215,24,28.8,0.062620044,0.011832026,0.044610824
"109168","Eucalyptus dwyeri",109168,1813990,6417215,20.2,30.32,0.020519,0.01586,0.021388
"109173","Eucalyptus dwyeri",109173,1863990,6417215,26,29.2,0.051346,0.012452,0.040862
"109175","Eucalyptus dwyeri",109175,1883990,6417215,27,29.05,NA,NA,NA
"109177","Eucalyptus dwyeri",109177,1903990,6417215,25,28.7,NA,NA,NA
"109602","Eucalyptus dwyeri",109602,1783990,6407215,19,30.5,0.020519,0.01586,0.021388
"109606","Eucalyptus dwyeri",109606,1823990,6407215,19,29.9,NA,NA,NA
"109611","Eucalyptus dwyeri",109611,1873990,6407215,27,29.5,NA,NA,NA
"109621","Eucalyptus dwyeri",109621,1973990,6407215,30,29.6,0.017612,0.012311,0.143631
"110015","Eucalyptus dwyeri",110015,1543990,6397215,18,30,NA,0.012535,0.019133
"110016","Eucalyptus dwyeri",110016,1553990,6397215,18,30,NA,0.012535,0.019133
"110020","Eucalyptus dwyeri",110020,1593990,6397215,19,30.2,NA,0.014943,0.016439
"110041","Eucalyptus dwyeri",110041,1803990,6397215,18,30.1,NA,NA,NA
"110047","Eucalyptus dwyeri",110047,1863990,6397215,25,29.8,0.040828034,0.018552141,0.03861358
"110048","Eucalyptus dwyeri",110048,1873990,6397215,25.25,29.3,NA,NA,NA
"110049","Eucalyptus dwyeri",110049,1883990,6397215,25,28.95,NA,NA,NA
"110050","Eucalyptus dwyeri",110050,1893990,6397215,24.1428571428571,28.8571428571429,NA,NA,NA
"110057","Eucalyptus dwyeri",110057,1963990,6397215,30,29.4,0.030005729,0.010258921,0.07416863
"110058","Eucalyptus dwyeri",110058,1973990,6397215,29,29.2,NA,NA,NA
"110455","Eucalyptus dwyeri",110455,1573990,6387215,19,29.9,NA,0.012535,0.019133
"110457","Eucalyptus dwyeri",110457,1593990,6387215,19,30.2,NA,NA,NA
"110462","Eucalyptus dwyeri",110462,1643990,6387215,23.6666666666667,30.8,NA,0.014943,0.016439
"110478","Eucalyptus dwyeri",110478,1803990,6387215,18,30.1,NA,NA,NA
"110479","Eucalyptus dwyeri",110479,1813990,6387215,18,30.15,0.020519,0.01586,0.021388
"110480","Eucalyptus dwyeri",110480,1823990,6387215,18,30.0333333333333,NA,NA,NA
"110481","Eucalyptus dwyeri",110481,1833990,6387215,19,29.875,NA,NA,NA
"110483","Eucalyptus dwyeri",110483,1853990,6387215,21.5,30,0.04083,0.018551,0.038614
"110484","Eucalyptus dwyeri",110484,1863990,6387215,23.1666666666667,29.4166666666667,NA,NA,NA
"110485","Eucalyptus dwyeri",110485,1873990,6387215,24,29.3,NA,NA,NA
"110895","Eucalyptus dwyeri",110895,1603990,6377215,19,30.15,NA,0.014943,0.016439
"110896","Eucalyptus dwyeri",110896,1613990,6377215,20,30.4,NA,0.014943,0.016439
"110897","Eucalyptus dwyeri",110897,1623990,6377215,20,30.4666666666667,-9353.048,0.0149459713333333,0.0163746566666667
"110908","Eucalyptus dwyeri",110908,1733990,6377215,19,30.8,0.010402,0.01667,0.043306
"110915","Eucalyptus dwyeri",110915,1803990,6377215,17,30.04,NA,0.020967,0.024351
"110916","Eucalyptus dwyeri",110916,1813990,6377215,17,29.9,NA,NA,NA
"110917","Eucalyptus dwyeri",110917,1823990,6377215,17,29.7833333333333,NA,NA,NA
"110918","Eucalyptus dwyeri",110918,1833990,6377215,17.8125,29.76875,0.04083,0.018551,0.038614
"110919","Eucalyptus dwyeri",110919,1843990,6377215,19,29.75,NA,NA,NA
"111331","Eucalyptus dwyeri",111331,1593990,6367215,18,29.9,NA,0.014943,0.016439
"111332","Eucalyptus dwyeri",111332,1603990,6367215,18,30.01,-9997.5335,0.0149430041,0.0164389126
"111335","Eucalyptus dwyeri",111335,1633990,6367215,21,30.7,-9939.119,0.014943413,0.016430054
"111350","Eucalyptus dwyeri",111350,1783990,6367215,16.6666666666667,30.0666666666667,NA,0.020967,0.024351
"111351","Eucalyptus dwyeri",111351,1793990,6367215,16,30,NA,0.020967,0.024351
"111352","Eucalyptus dwyeri",111352,1803990,6367215,17,29.8,NA,NA,NA
"111353","Eucalyptus dwyeri",111353,1813990,6367215,16.2857142857143,29.8,NA,0.020967,0.024351
"111354","Eucalyptus dwyeri",111354,1823990,6367215,17,29.8,NA,NA,NA
"111356","Eucalyptus dwyeri",111356,1843990,6367215,18,29.675,0.04083,0.018551,0.038614
"111358","Eucalyptus dwyeri",111358,1863990,6367215,20,29.95,0.04083,0.018551,0.038614
"111361","Eucalyptus dwyeri",111361,1893990,6367215,21,29.1,NA,NA,NA
"111770","Eucalyptus dwyeri",111770,1613990,6357215,18,30.2,-10005.1715,0.014942957,0.016439922
"111776","Eucalyptus dwyeri",111776,1673990,6357215,19.5714285714286,30.8571428571429,0.039794,0.015012,0.014945
"111783","Eucalyptus dwyeri",111783,1743990,6357215,20,30.4,0.010402,0.01667,0.043306
