species_genome_size,mean(genome_size)
Eucalyptus conveniens,1.17
Eucalyptus coolabah,1.32
Eucalyptus cooperiana,1.3
Eucalyptus cordata,1.23
Eucalyptus cornuta,1.18
Eucalyptus coronata,1
Eucalyptus corrugata,1.33
Eucalyptus corticosa,1.22
Eucalyptus corynodes,1.32
Eucalyptus crebra,1.28
Eucalyptus creta,1.28
Eucalyptus cretata,1.28
Eucalyptus croajingolensis,1.11
Eucalyptus crucis,1.176666667
Eucalyptus cullenii,1.26
Eucalyptus cunninghamii,1.13
Eucalyptus cuprea,1.2
Eucalyptus cupularis,1.17
Eucalyptus curtisii,0.92
Eucalyptus cyanophylla,1.28
Eucalyptus cyclostoma,1.28
Eucalyptus cylindriflora,1.24
Eucalyptus cylindrocarpa,1.35
Eucalyptus cypellocarpa,1.22
Eucalyptus dalrympleana,1.19
Eucalyptus dawsonii,1.26
Eucalyptus dealbata,1.23
Eucalyptus deanei,1.18
Eucalyptus decipiens,1.25
Eucalyptus decolor,1.34
Eucalyptus decorticans,1.33
Eucalyptus deflexa,1.22
Eucalyptus delicata,1.26
Eucalyptus dendromorpha,1.19
Eucalyptus densa,1.22
Eucalyptus denticulata,1.19
Eucalyptus depauperata,1.29
Eucalyptus desmondensis,1.21
Eucalyptus deuaensis,1.13
Eucalyptus dielsii,1.3
Eucalyptus diminuta,1.26
Eucalyptus diptera,1.24
Eucalyptus disclusa,1.21
Eucalyptus discreta,1.18
Eucalyptus dissimulata,1.23
Eucalyptus distans,1.26
Eucalyptus distuberosa,1.315
Eucalyptus diversicolor,1.14
Eucalyptus diversifolia,1.09
Eucalyptus dives,1.12
Eucalyptus dolichocera,1.33
Eucalyptus dolichorhyncha,1.21
Eucalyptus doratoxylon,1.12
Eucalyptus dorrienii,1.34
Eucalyptus dorrigoensis,1.18
Eucalyptus drepanophylla,1.31
Eucalyptus drummondii,1.23
Eucalyptus dumosa,1.31
Eucalyptus dundasii,1.21
Eucalyptus dunnii,1.22
Eucalyptus dura,1.27
Eucalyptus dwyeri,1.21
Eucalyptus ebbanoensis,1.21
Eucalyptus ecostata,1.3
Eucalyptus educta,1.18
Eucalyptus effusa,1.275
Eucalyptus elata,1.08
Eucalyptus elegans,1.28
Eucalyptus elliptica,1.18
Eucalyptus eremicola,1.33
Eucalyptus eremophila,1.32
Eucalyptus erosa,1.14
Eucalyptus erythrocorys,1.213333333
Eucalyptus erythronema,1.305
Eucalyptus eudesmioides,1.17
Eucalyptus eugenioides,1.14
Eucalyptus ewartiana,1.25
Eucalyptus exigua,1.24
Eucalyptus exilipes,1.29
Eucalyptus exilis,0.93
Eucalyptus expressa,1.15
Eucalyptus exserta,1.22
Eucalyptus extensa,1.23
Eucalyptus extrica,1.13
Eucalyptus falcata,1.36
Eucalyptus falciformis,1.1
Eucalyptus farinosa,1.32
Eucalyptus fasciculosa,1.23
Eucalyptus fastigata,1.09
Eucalyptus fergusonii,1.25
Eucalyptus fibrosa,1.28
Eucalyptus flavida,1.3
Eucalyptus flindersii,1.17
Eucalyptus flocktoniae,1.32
Eucalyptus foecunda,1.22
Eucalyptus foliosa,1.21
Eucalyptus formanii,1.21
Eucalyptus forrestiana,1.22
Eucalyptus fracta,1.29
Eucalyptus fraseri,1.34
Eucalyptus frenchiana,1.36
Eucalyptus froggattii,1.23
Eucalyptus fruticosa,1.27
Eucalyptus fulgens,1.19
Eucalyptus fusiformis,1.27
Eucalyptus gamophylla,1.2
Eucalyptus gardneri,1.285
Eucalyptus georgei,1.335
Eucalyptus gillenii,1.18
Eucalyptus gillii,1.42
Eucalyptus gittinsii,1.155
Eucalyptus glaucina,1.23
Eucalyptus globoidea,1.12
Eucalyptus globulus,1.23
Eucalyptus glomericassis,1.13
Eucalyptus glomerosa,1.35
Eucalyptus gomphocephala,1.2
Eucalyptus gongylocarpa,1.25
Eucalyptus goniantha,1.28
Eucalyptus goniocalyx,1.206666667
Eucalyptus goniocarpa,1.3
Eucalyptus gracilis,1.26
Eucalyptus grandis,1.255
Eucalyptus granitica,1.27
Eucalyptus grasbyi,1.3
Eucalyptus gregoriensis,1.13
Eucalyptus gregsoniana,1.13
Eucalyptus griffithsii,1.31
Eucalyptus grisea,1.22
Eucalyptus grossa,1.19
Eucalyptus gypsophila,1.32
Eucalyptus haemastoma,1.17
Eucalyptus hallii,1.17
Eucalyptus halophila,1.26
Eucalyptus hebetifolia,1.26
Eucalyptus helidonica,1.105
Eucalyptus herbertiana,1.2
Eucalyptus histophylla,1.25
Eucalyptus horistes,1.25
Eucalyptus houseana,1.13
Eucalyptus howittiana,1.14
Eucalyptus hypolaena,1.35
Eucalyptus hypostomatica,1.28
Eucalyptus imitans,1.15
Eucalyptus impensa,1.3
Eucalyptus incerata,1.31
Eucalyptus incrassata,1.241333333
Eucalyptus indurata,1.3
Eucalyptus infera,1.19
Eucalyptus insulana,1.25
Eucalyptus insularis,0.95
Eucalyptus interstans,1.22
Eucalyptus intertexta,1.27
Eucalyptus irritans,1.09
Eucalyptus jensenii,1.27
Eucalyptus jimberlanica,1.29
Eucalyptus jutsonii,1.265
Eucalyptus kabiana,1.246666667
Eucalyptus kartzoffiana,1.18
Eucalyptus kessellii,1.365
Eucalyptus kingsmillii,1.29
Eucalyptus kitsoniana,1.17
Eucalyptus kochii,1.32
Eucalyptus kondininensis,1.3
Eucalyptus koolpinensis,1.25
Eucalyptus kruseana,1.17
Eucalyptus kumarlensis,1.27
Eucalyptus laeliae,1.2
Eucalyptus laevis,1.283333333
Eucalyptus laevopinea,1.14
Eucalyptus lanepoolei,1.2
Eucalyptus langleyi,1.17
Eucalyptus lansdowneana,1.27
Eucalyptus largeana,1.24
Eucalyptus largiflorens,1.31
Eucalyptus latens,1.226
Eucalyptus latisinensis,1.07
Eucalyptus lehmannii,1.16
Eucalyptus leptocalyx,1.24
Eucalyptus leptophleba,1.28
Eucalyptus leptophylla,1.21
Eucalyptus leptopoda,1.27
Eucalyptus lesouefii,1.35
Eucalyptus leucophloia,1.195
Eucalyptus leucophylla,1.276666667
Eucalyptus leucoxylon,1.268333333
Eucalyptus ligulata,1.09
Eucalyptus ligustrina,1.12
Eucalyptus lirata,1.15
Eucalyptus litoralis,1.24
Eucalyptus litorea,1.25
Eucalyptus livida,1.25
Eucalyptus lockyeri,1.22
Eucalyptus longicornis,1.27
Eucalyptus longifolia,1.16
Eucalyptus longirostrata,1.22
Eucalyptus longissima,1.32
Eucalyptus loxophleba,1.285
Eucalyptus lucasii,1.29
Eucalyptus lucens,1.28
Eucalyptus luculenta,1.27
Eucalyptus luehmanniana,1.18
Eucalyptus macarthurii,1.16
Eucalyptus mackintii,1.13
Eucalyptus macrandra,1.15
Eucalyptus macrocarpa,1.265
Eucalyptus macrorhyncha,1.11
Eucalyptus macta,1.29
Eucalyptus magnificata,1.23
Eucalyptus maidenii,1.26
Eucalyptus major,1.19
Eucalyptus malacoxylon,1.22
Eucalyptus mannensis,1.295
Eucalyptus mannifera,1.205
Eucalyptus mcquoidii,1.16
Eucalyptus mediocris,1.09
Eucalyptus megacarpa,1.03
Eucalyptus megacornuta,1.16
Eucalyptus melanoleuca,1.26
Eucalyptus melanophitra,1.24
Eucalyptus melanophloia,1.26
Eucalyptus melanoxylon,1.27
Eucalyptus melliodora,1.3
Eucalyptus merrickiae,1.2
Eucalyptus michaeliana,1.21
Eucalyptus micranthera,1.26
Eucalyptus microcarpa,1.29
Eucalyptus microcodon,1.14
Eucalyptus microcorys,1
Eucalyptus microneura,1.33
Eucalyptus microtheca,1.28
Eucalyptus mimica,1.3
Eucalyptus minniritchi,1.24
Eucalyptus misella,1.26
Eucalyptus mitchelliana,1.09
Eucalyptus moderata,1.3375
Eucalyptus moluccana,1.33
Eucalyptus moorei,1.1
Eucalyptus morrisii,1.23
Eucalyptus muelleriana,1.17
Eucalyptus myriadena,1.26
Eucalyptus nandewarica,1.21
Eucalyptus nebulosa,1.15
Eucalyptus neglecta,1.14
Eucalyptus neutra,1.29
Eucalyptus newbeyi,1.2
Eucalyptus nicholii,1.19
Eucalyptus nitens,1.2
Eucalyptus nobilis,1.25
Eucalyptus normantonensis,1.25
Eucalyptus nortonii,1.24
Eucalyptus notabilis,1.25
Eucalyptus notactites,1.31
Eucalyptus nova-anglica,1.19
Eucalyptus nubilis,1.29
Eucalyptus nudicaulis,1.23
Eucalyptus nutans,1.3
Eucalyptus obconica,1.22
Eucalyptus obesa,1.24
Eucalyptus obliqua,1.14
Eucalyptus oblonga,1.16
Eucalyptus obstans,1.13
Eucalyptus obtusiflora,1.273333333
Eucalyptus occidentalis,1.27
Eucalyptus ochrophloia,1.34
Eucalyptus odontocarpa,1.17
Eucalyptus odorata,1.28
Eucalyptus oldfieldii,1.26
Eucalyptus oleosa,1.2825
Eucalyptus olida,1.15
Eucalyptus oligantha,1.23
Eucalyptus olivina,1.24
Eucalyptus ophitica,1.24
Eucalyptus opimiflora,1.31
Eucalyptus optima,1.36
Eucalyptus oraria,1.33
Eucalyptus orbifolia,1.19
